WHS,ZONE,TYPE,AISLE,COLUMN,SHELF,LOC
80,WH,,,,0,P235
80,WH,,,,0,P236
80,WH,,,,0,P237
80,WH,,,,0,P238
80,WH,,,,0,P239
80,WH,,,,0,P240
80,WH,,,,0,P241
80,WH,,,,0,P242
80,WH,,,,0,P243
80,WH,,,,0,P244
80,WH,,,,0,P245
80,WH,,,,0,P246
80,WH,,,,0,P247
80,WH,,,,0,P248
80,WH,,,,0,P249
80,WH,,,,0,P250
80,WH,,,,0,P251
80,WH,,,,0,P252
80,WH,,,,0,P253
80,WH,,,,0,P254
80,WH,,,,0,P255
80,WH,,,,0,P256
80,WH,,,,0,P257
80,WH,,,,0,P258
80,WH,,,,0,P259
80,WH,,,,0,P260
80,WH,,,,0,P261
80,WH,,,,0,P262
80,WH,,,,0,P263
80,WH,,,,0,P264
80,WH,,,,0,P265
80,WH,,,,0,P266
80,WH,,,,0,P267
80,WH,,,,0,P268
80,WH,,,,0,P269
80,WH,,,,0,P270
80,WH,,,,0,P271
80,WH,,,,0,P272
80,WH,,,,0,P273
80,WH,,,,0,P274
80,WH,,,,0,P275
80,WH,,,,0,P276
80,WH,,,,0,P277
80,WH,,,,0,P278
80,WH,,,,0,P279
80,WH,,,,0,P280
80,WH,,,,0,P281
80,WH,,,,0,P282
80,WH,,,,0,P283
80,WH,,,,0,P284
80,WH,,,,0,P285
80,WH,,,,0,P286
80,WH,,,,0,P287
80,WH,,,,0,P288
80,WH,,,,0,P289
80,WH,,,,0,P290
80,WH,,,,0,P291
80,WH,,,,0,P292
80,WH,,,,0,P293
80,WH,,,,0,P294
80,WH,,,,0,P295
80,WH,,,,0,P296
80,WH,,,,0,P297
80,WH,,,,0,P298
80,WH,,,,0,P299
80,WH,,,,0,P300
80,WH,,,,0,P301
80,WH,,,,0,P302
80,WH,,,,0,P303
80,WH,,,,0,P304
80,WH,,,,0,P305
80,WH,,,,0,P306
80,WH,,,,0,P307
80,WH,,,,0,P308
80,WH,,,,0,P309
80,WH,,,,0,P310
80,WH,,,,0,P311
80,WH,,,,0,P312
80,WH,,,,0,P313
80,WH,,,,0,P314
80,WH,,,,0,P315
80,WH,,,,0,P316
80,WH,,,,0,P317
80,WH,,,,0,P318
80,WH,,,,0,P319
80,WH,,,,0,P320
80,WH,,,,0,P321
80,WH,,,,0,P322
80,WH,,,,0,P323
80,WH,,,,0,P324
80,WH,,,,0,P325
80,WH,,,,0,P326
80,WH,,,,0,P327
80,WH,,,,0,P328
80,WH,,,,0,P329
80,WH,,,,0,P330
80,WH,,,,0,P331
80,WH,,,,0,P332
80,WH,,,,0,P333
80,WH,,,,0,P334
80,WH,,,,0,P335
80,WH,,,,0,P336
80,WH,,,,0,P337
80,WH,,,,0,P338
80,WH,,,,0,P339
80,WH,,,,0,P340
80,WH,,,,0,P341
80,WH,,,,0,P342
80,WH,,,,0,P343
80,WH,,,,0,P344
80,WH,,,,0,P345
80,WH,,,,0,P346
80,WH,,,,0,P347
80,WH,,,,0,P348
80,WH,,,,0,P349
80,WH,,,,0,P350
80,WH,,,,0,P351
80,WH,,,,0,P352
80,WH,,,,0,P353
80,WH,,,,0,P354
80,WH,,,,0,P355
80,WH,,,,0,P356
80,WH,,,,0,P357
80,WH,,,,0,P358
80,WH,,,,0,P359
80,WH,,,,0,P360
80,WH,,,,0,P361
80,WH,,,,0,P362
80,WH,,,,0,P363
80,WH,,,,0,P364
80,WH,,,,0,P365
80,WH,,,,0,P366
80,WH,,,,0,P367
80,WH,,,,0,P368
