AISLE,IG,HTS,PLANNING,ABC,UOM,CAT,COSTX,QTYVAR,PESO,LARGO,ALTO,ANCHO,CONTRPERC,Cluster Labels
14,IG46,HTS119,1/1,C,PR,CAT17,-0.12022242825611781,-0.03898154017247681,-0.30939124327520207,-0.7402099251300721,-0.37837803696760386,-0.04513766536924177,-0.21609228763062732,0
14,IG46,HTS119,1/1,C,PR,CAT17,-0.00826106588890374,-0.037905918561084516,-0.30939124327520207,-0.7402099251300721,-0.37837803696760386,-0.04513766536924177,-0.21609228763062732,0
16,IG46,HTS119,1/1,C,PR,CAT17,-1.1577311276168725,-0.08115223452500443,-0.30939124327520207,-0.7402099251300721,-0.37837803696760386,-0.04513766536924177,-0.21609228763062732,0
12,IG46,HTS119,1/1,C,PR,CAT17,0.036523487364415706,-0.03227472306614834,-0.30939124327520207,-0.7402099251300721,-0.37837803696760386,-0.04513766536924177,-0.21609228763062732,0
14,IG46,HTS119,1/1,C,PR,CAT17,0.02159528910258619,-0.03656666420180194,-0.30939124327520207,-0.7402099251300721,-0.37837803696760386,-0.04513766536924177,-0.21609228763062732,0
14,IG46,HTS119,1/1,C,PR,CAT17,0.46944078010361157,0.017256597607475624,-0.30939124327520207,-0.7402099251300721,-0.37837803696760386,-0.04513766536924177,-0.21609228763062732,0
15,IG46,HTS119,1/1,C,PR,CAT17,0.036523487364415706,-0.035027048954122765,-0.30939124327520207,-0.7402099251300721,-0.37837803696760386,-0.04513766536924177,-0.21609228763062732,0
12,IG46,HTS119,1/1,A,BX,CAT17,-0.25457382451286065,-0.046405438353066826,-0.3099746915928972,-0.8126423767844154,-0.4875282678854378,-0.7668312058930901,-0.19251503079206095,0
14,IG46,HTS119,1/1,A,BX,CAT17,1.0885128758650364,1.1820388043362673,-0.3099746915928972,-0.8126423767844154,-0.4875282678854378,-0.7668312058930901,-0.16893777395349455,0
15,IG46,HTS119,1/1,A,BX,CAT17,-0.12109938000649,-0.04104842091593654,-0.3099746915928972,-0.8126423767844154,-0.4875282678854378,-0.7668312058930901,-0.16893777395349455,0
13,IG46,HTS119,1/1,A,BX,CAT17,-0.35467966308415977,-0.06846622669652463,-0.3099746915928972,-0.8126423767844154,-0.4875282678854378,-0.7668312058930901,-0.16893777395349455,0
17,IG46,HTS119,1/1,A,BX,CAT17,1.0551442491638803,0.07732268288679478,-0.3099746915928972,-0.8126423767844154,-0.4875282678854378,-0.7668312058930901,-0.16893777395349455,0
99,IG46,HTS119,1/1,A,BX,CAT17,-1.5559497467058336,-0.1409230511266865,-0.3099746915928972,-0.8126423767844154,-0.4875282678854378,-0.7668312058930901,-0.16893777395349455,0
12,IG46,HTS119,1/1,A,BX,CAT17,-1.28065868544324,-0.08504345388386482,-0.3099746915928972,-0.8126423767844154,-0.4875282678854378,-0.7668312058930901,-0.16893777395349455,0
17,IG46,HTS119,1/1,A,BX,CAT17,2.389888798058009,0.6750835754531934,-0.3099746915928972,-0.8126423767844154,-0.4875282678854378,-0.7668312058930901,-0.16893777395349455,0
16,IG46,HTS119,1/1,A,BX,CAT17,-0.2378895215453249,-0.04924212672036613,-0.3099746915928972,-0.8126423767844154,-0.4875282678854378,-0.7668312058930901,-0.16893777395349455,0
15,IG46,HTS121,1/1,B,PR,CAT17,0.00575599964739107,-0.1409230511266865,-0.3098400496734291,-0.8317035482724005,-0.4875282678854378,-0.34584330725417856,-0.19251503079206095,0
15,IG46,HTS121,1/1,B,PR,CAT17,0.00575599964739107,-0.037758284222265966,-0.3098400496734291,-0.8317035482724005,-0.4875282678854378,-0.34584330725417856,-0.19251503079206095,0
14,IG46,HTS121,1/1,B,PR,CAT17,0.09896955399183058,0.027801907523086433,-0.3098400496734291,-0.8317035482724005,-0.4875282678854378,-0.34584330725417856,-0.19251503079206095,0
0,IG46,HTS121,1/1,B,PR,CAT17,-0.06415416611093856,-0.1409230511266865,-0.3098400496734291,-0.8317035482724005,-0.4875282678854378,-0.34584330725417856,-0.19251503079206095,0
12,IG46,HTS121,1/1,B,PR,CAT17,0.05236277681961082,-0.031030376496106266,-0.3098400496734291,-0.8317035482724005,-0.4875282678854378,-0.34584330725417856,-0.19251503079206095,0
16,IG46,HTS121,1/1,A,PR,CAT17,-0.08163169197595754,-0.04624725870433266,-0.3098400496734291,-0.8317035482724005,-0.4875282678854378,-0.34584330725417856,-0.19251503079206095,0
13,IG46,HTS121,1/1,B,PR,CAT17,-0.023373230893725137,-0.04057388196973404,-0.3098400496734291,-0.8317035482724005,-0.4875282678854378,-0.34584330725417856,-0.19251503079206095,0
13,IG46,HTS121,1/1,B,PR,CAT17,0.034885230188507275,-0.034004153892308514,-0.3098400496734291,-0.8317035482724005,-0.4875282678854378,-0.34584330725417856,-0.19251503079206095,0
13,IG46,HTS121,1/1,B,PR,CAT17,0.17209021871920574,-0.02210904430749952,-0.30535198569115884,-0.7402099251300721,-0.34999897692896703,-0.6465489491391153,-0.19251503079206095,0
99,IG46,HTS121,1/1,B,PR,CAT17,-0.03116412589713829,-0.1409230511266865,-0.30535198569115884,-0.7402099251300721,-0.34999897692896703,-0.6465489491391153,-0.19251503079206095,0
13,IG46,HTS121,1/1,A,PR,CAT17,-0.1139714422522038,-0.05419842238070321,-0.30535198569115884,-0.7402099251300721,-0.34999897692896703,-0.6465489491391153,-0.14536051711492817,0
15,IG46,HTS121,1/1,A,PR,CAT17,0.8194928814101125,-0.0007547917283876348,-0.30535198569115884,-0.7402099251300721,-0.34999897692896703,-0.6465489491391153,-0.14536051711492817,0
13,IG46,HTS121,1/1,B,PR,CAT17,-0.03116412589713829,-0.04976939221614667,-0.30535198569115884,-0.7402099251300721,-0.34999897692896703,-0.6465489491391153,-0.19251503079206095,0
14,IG46,HTS121,1/1,A,PR,CAT17,-0.0010523688318186718,-0.03907644796171732,-0.30535198569115884,-0.7402099251300721,-0.34999897692896703,-0.6465489491391153,-0.19251503079206095,0
13,IG46,HTS121,1/1,B,PR,CAT17,0.03658732230830972,-0.009106677181551396,-0.30535198569115884,-0.7402099251300721,-0.34999897692896703,-0.6465489491391153,-0.19251503079206095,0
14,IG46,HTS121,1/1,B,PR,CAT17,-0.016108236981436205,-0.03947716973851052,-0.30535198569115884,-0.7402099251300721,-0.34999897692896703,-0.6465489491391153,-0.19251503079206095,0
13,IG46,HTS121,1/1,B,PR,CAT17,-0.2015018384085517,-0.05890163060306563,-0.30535198569115884,-0.7402099251300721,-0.34999897692896703,-0.6465489491391153,-0.19251503079206095,0
13,IG46,HTS121,1/1,B,PR,CAT17,0.29420480510168684,0.057813859542914785,-0.30535198569115884,-0.7402099251300721,-0.34999897692896703,-0.6465489491391153,-0.19251503079206095,0
17,IG46,HTS121,1/1,B,PR,CAT17,0.08733431682077823,-0.031410007653068256,-0.29458063213371033,-0.7402099251300721,-0.34999897692896703,-0.6465489491391153,-0.19251503079206095,0
14,IG46,HTS121,1/1,B,PR,CAT17,0.3010091034283256,0.02024092031359348,-0.29458063213371033,-0.7402099251300721,-0.34999897692896703,-0.6465489491391153,-0.19251503079206095,0
14,IG46,HTS121,1/1,B,PR,CAT17,0.10675930686059369,-0.03272817139251961,-0.29458063213371033,-0.7402099251300721,-0.34999897692896703,-0.6465489491391153,-0.19251503079206095,0
13,IG46,HTS121,1/1,B,PR,CAT17,-0.1069154589808691,-0.06092633010686291,-0.29458063213371033,-0.7402099251300721,-0.34999897692896703,-0.6465489491391153,-0.21609228763062732,0
15,IG46,HTS121,1/1,B,PR,CAT17,0.06790934754704732,-0.03332925405770942,-0.29458063213371033,-0.7402099251300721,-0.34999897692896703,-0.6465489491391153,-0.19251503079206095,0
13,IG46,HTS121,1/1,B,PR,CAT17,0.37870902205541834,0.06998314718552967,-0.29458063213371033,-0.7402099251300721,-0.34999897692896703,-0.6465489491391153,-0.19251503079206095,0
13,IG46,HTS121,1/1,B,PR,CAT17,-0.3205902455884165,-0.12805777302964133,-0.29458063213371033,-0.7402099251300721,-0.34999897692896703,-0.6465489491391153,-0.19251503079206095,0
13,IG46,HTS121,1/1,B,PR,CAT17,-7.808644317997453e-05,-0.05212099632732788,-0.29458063213371033,-0.7402099251300721,-0.34999897692896703,-0.6465489491391153,-0.21609228763062732,0
14,IG46,HTS121,1/1,B,PR,CAT17,-0.41771513348924016,-0.07061746991930924,-0.29458063213371033,-0.7402099251300721,-0.34999897692896703,-0.6465489491391153,-0.21609228763062732,0
14,IG46,HTS121,1/1,B,PR,CAT17,-0.03467184983428888,-0.04313639227922748,-0.30535198569115884,-0.7402099251300721,-0.34999897692896703,-0.6465489491391153,-0.19251503079206095,0
14,IG46,HTS121,1/1,C,PR,CAT17,0.03702579818349581,-0.033582341495684086,-0.30535198569115884,-0.7402099251300721,-0.34999897692896703,-0.6465489491391153,-0.21609228763062732,0
14,IG46,HTS121,1/1,C,PR,CAT17,-0.03467184983428888,-0.04495018558471254,-0.30535198569115884,-0.7402099251300721,-0.34999897692896703,-0.6465489491391153,-0.21609228763062732,0
12,IG46,HTS121,1/1,B,PR,CAT17,0.41144683740632443,0.02205471361907854,-0.30535198569115884,-0.7402099251300721,-0.34999897692896703,-0.6465489491391153,-0.21609228763062732,0
99,IG46,HTS121,1/1,B,PR,CAT17,-0.4967233569748919,-0.1409230511266865,-0.30535198569115884,-0.7402099251300721,-0.34999897692896703,-0.6465489491391153,-0.21609228763062732,0
12,IG46,HTS121,1/1,B,PR,CAT17,0.602640551609694,0.4111555588852861,-0.30535198569115884,-0.7402099251300721,-0.34999897692896703,-0.6465489491391153,-0.21609228763062732,0
99,IG46,HTS121,1/1,B,PR,CAT17,-0.5126561561087971,-0.1409230511266865,-0.30535198569115884,-0.7402099251300721,-0.34999897692896703,-0.6465489491391153,-0.21609228763062732,0
14,IG46,HTS121,1/1,B,PR,CAT17,0.18945776740046977,-0.02219340678682441,-0.3120840816645642,-0.8202668453796095,-0.4875282678854378,-0.5262666923851407,-0.19251503079206095,0
99,IG46,HTS121,1/1,B,PR,CAT17,-0.1491610261411029,-0.1409230511266865,-0.3120840816645642,-0.8202668453796095,-0.4875282678854378,-0.5262666923851407,-0.19251503079206095,0
16,IG46,HTS121,1/1,A,PR,CAT17,0.10034754983012557,-0.031230737384502872,-0.3120840816645642,-0.8202668453796095,-0.4875282678854378,-0.5262666923851407,-0.16893777395349455,0
16,IG46,HTS121,1/1,A,PR,CAT17,-0.25163777011717336,-0.041765501990198066,-0.3120840816645642,-0.8202668453796095,-0.4875282678854378,-0.5262666923851407,-0.16893777395349455,0
13,IG46,HTS121,1/1,B,PR,CAT17,-0.04222877336312368,-0.046795614819944424,-0.3120840816645642,-0.8202668453796095,-0.4875282678854378,-0.5262666923851407,-0.19251503079206095,0
13,IG46,HTS121,1/1,B,PR,CAT17,-0.028862246957397416,-0.04593089940686434,-0.3120840816645642,-0.8202668453796095,-0.4875282678854378,-0.5262666923851407,-0.19251503079206095,0
15,IG46,HTS121,1/1,A,PR,CAT17,-0.04222877336312368,-0.04093242250686482,-0.3120840816645642,-0.8202668453796095,-0.4875282678854378,-0.5262666923851407,-0.19251503079206095,0
14,IG46,HTS121,1/1,B,PR,CAT17,-0.006584702947853642,-0.040521155420155996,-0.3120840816645642,-0.8202668453796095,-0.4875282678854378,-0.5262666923851407,-0.21609228763062732,0
13,IG46,HTS121,1/1,B,PR,CAT17,-0.09730009732142468,-0.048883586183235364,-0.3098400496734291,-0.8202668453796095,-0.4875282678854378,-0.5262666923851407,-0.19251503079206095,0
13,IG46,HTS121,1/1,B,PR,CAT17,0.16690611107492048,-0.0003224340218475953,-0.3098400496734291,-0.8202668453796095,-0.4875282678854378,-0.5262666923851407,-0.19251503079206095,0
12,IG46,HTS121,1/1,A,PR,CAT17,0.7814727140689347,2.266919197834476,-0.3098400496734291,-0.8202668453796095,-0.4875282678854378,-0.5262666923851407,-0.16893777395349455,0
15,IG46,HTS121,1/1,B,PR,CAT17,0.052033842040404205,-0.03163145916129608,-0.3098400496734291,-0.8202668453796095,-0.4875282678854378,-0.5262666923851407,-0.19251503079206095,0
15,IG46,HTS121,1/1,B,PR,CAT17,0.0060849344265976905,-0.037262654656232255,-0.3098400496734291,-0.8202668453796095,-0.4875282678854378,-0.5262666923851407,-0.19251503079206095,0
15,IG46,HTS121,1/1,B,PR,CAT17,-0.011145911120100887,-0.06183322675960544,-0.3098400496734291,-0.8202668453796095,-0.4875282678854378,-0.5262666923851407,-0.19251503079206095,0
17,IG46,HTS121,1/1,A,PR,CAT17,-0.016889519380305567,-0.037874282631337686,-0.3098400496734291,-0.8202668453796095,-0.4875282678854378,-0.5262666923851407,-0.16893777395349455,0
13,IG46,HTS121,1/1,B,PR,CAT17,0.03480299649370563,-0.03487941461530421,-0.3098400496734291,-0.8202668453796095,-0.4875282678854378,-0.5262666923851407,-0.19251503079206095,0
14,IG46,HTS121,1/1,B,PR,CAT17,0.5287537429590834,4.551739861320123,-0.3098400496734291,-0.8202668453796095,-0.4875282678854378,-0.5262666923851407,-0.19251503079206095,0
13,IG46,HTS119,1/1,A,BX,CAT17,-1.2872549906670672,-0.0865619785117128,-0.31975867107424627,-0.8240790796772064,-0.7058287297211058,-0.7066900775161027,-0.14536051711492817,0
13,IG46,HTS119,1/1,A,BX,CAT17,0.6597259781080991,0.043314058408949925,-0.31975867107424627,-0.8240790796772064,-0.7058287297211058,-0.7066900775161027,-0.14536051711492817,0
14,IG46,HTS119,1/1,A,BX,CAT17,-0.45930295568756796,-0.1409230511266865,-0.31975867107424627,-0.8240790796772064,-0.7058287297211058,-0.7066900775161027,-0.07462874659922902,0
14,IG46,HTS119,1/1,A,BX,CAT17,0.42363027844330325,-0.010140117553281256,-0.31975867107424627,-0.8240790796772064,-0.7058287297211058,-0.7066900775161027,-0.07462874659922902,0
15,IG46,HTS119,1/1,A,BX,CAT17,0.08404058738487287,-0.03440487566910173,-0.31975867107424627,-0.8240790796772064,-0.7058287297211058,-0.7066900775161027,-0.07462874659922902,0
13,IG46,HTS119,1/1,A,BX,CAT17,-0.362277308904789,-0.0508661044473702,-0.31975867107424627,-0.8240790796772064,-0.7058287297211058,-0.7066900775161027,-0.14536051711492817,0
16,IG46,HTS119,1/1,A,BX,CAT17,1.7270079058239065,0.16882433702454977,-0.31975867107424627,-0.8240790796772064,-0.7058287297211058,-0.7066900775161027,-0.12178326027636178,0
14,IG46,HTS119,1/1,A,BX,CAT17,0.2877943978667142,-0.003517662926277668,-0.31975867107424627,-0.8240790796772064,-0.7058287297211058,-0.7066900775161027,-0.07462874659922902,0
17,IG46,HTS119,1/1,A,BX,CAT17,0.8052644171331408,-0.006512530942311137,-0.31975867107424627,-0.8240790796772064,-0.7058287297211058,-0.7066900775161027,-0.07462874659922902,0
13,IG46,HTS119,1/1,A,BX,CAT17,-0.35642158455412115,-0.049526850088087625,-0.31975867107424627,-0.8240790796772064,-0.7058287297211058,-0.7066900775161027,-0.19251503079206095,0
13,IG46,HTS119,1/1,A,PC,CAT17,-0.11800924126347237,-0.050402110811083325,-0.3244262576158073,-0.8088301424868184,-0.9241291915567738,-0.8871134626470648,-0.19251503079206095,0
15,IG46,HTS119,1/1,A,PC,CAT17,-0.02057626773232612,-0.03772664829251913,-0.3244262576158073,-0.8088301424868184,-0.9241291915567738,-0.8871134626470648,-0.19251503079206095,0
17,IG46,HTS119,1/1,A,PC,CAT17,-3.289176415535727,-0.0716403649811235,-0.3244262576158073,-0.8088301424868184,-0.9241291915567738,-0.8871134626470648,-0.14536051711492817,0
14,IG46,HTS119,1/1,A,PC,CAT17,-0.9158565173481439,-0.11159654425137283,-0.3244262576158073,-0.8088301424868184,-0.9241291915567738,-0.8871134626470648,-0.12178326027636178,0
15,IG46,HTS119,1/1,A,PC,CAT17,0.10994712926531514,-0.034415420979017335,-0.3244262576158073,-0.8088301424868184,-0.9241291915567738,-0.8871134626470648,-0.12178326027636178,0
15,IG46,HTS119,1/1,A,PC,CAT17,0.10259369259894532,-0.03343470715686553,-0.3244262576158073,-0.8088301424868184,-0.9241291915567738,-0.8871134626470648,-0.12178326027636178,0
12,IG46,HTS119,1/1,A,PC,CAT17,0.019867592400538696,-0.03741028899505081,-0.3244262576158073,-0.8088301424868184,-0.9241291915567738,-0.8871134626470648,-0.19251503079206095,0
15,IG45,HTS24,1/1,C,PR,CAT17,0.014673558567840533,-0.1409230511266865,-0.308044824080521,-0.7516466280228632,-0.4329531524265208,0.4359913616466571,-0.21609228763062732,0
12,IG45,HTS24,1/1,B,PR,CAT17,0.019468842045088853,-0.04464437159715982,-0.308044824080521,-0.7478343937252662,-0.37837803696760386,0.4359913616466571,-0.21609228763062732,0
12,IG45,HTS24,1/1,B,PR,CAT17,0.024264104756252628,-0.03604994401593701,-0.308044824080521,-0.7478343937252662,-0.37837803696760386,0.4359913616466571,-0.21609228763062732,0
14,IG45,HTS24,1/1,B,PR,CAT17,0.2688231260081415,0.030438235001989136,-0.308044824080521,-0.7478343937252662,-0.4329531524265208,0.4359913616466571,-0.19251503079206095,0
14,IG45,HTS24,1/1,C,PR,CAT17,0.019468842045088853,-0.08819650154863246,-0.3262214832087154,-0.7478343937252662,-0.37837803696760386,0.4359913616466571,-0.21609228763062732,0
16,IG45,HTS24,1/1,C,PR,CAT17,0.019468842045088853,-0.03664048137121122,-0.3262214832087154,-0.7478343937252662,-0.37837803696760386,0.4359913616466571,-0.21609228763062732,0
13,IG45,HTS24,1/1,B,PR,CAT17,0.014673558567840533,-0.03753683271403813,-0.308044824080521,-0.7478343937252662,-0.4875282678854378,0.4359913616466571,-0.21609228763062732,0
15,IG45,HTS24,1/1,B,PR,CAT17,0.07221685646439766,-0.02480864364589589,-0.308044824080521,-0.7478343937252662,-0.4875282678854378,0.4359913616466571,-0.21609228763062732,0
12,IG45,HTS24,1/1,B,PR,CAT17,0.11008734186816885,-0.004118745591467484,-0.31769416164240194,-0.7668955652132512,-0.5966784988032718,0.1352857197617203,-0.21609228763062732,0
16,IG45,HTS24,1/1,C,PR,CAT17,-0.024959240600916144,-0.05512640965327696,-0.31881617763796954,-0.7630833309156542,-0.5966784988032718,0.49613249002364446,-0.21609228763062732,0
14,IG45,HTS24,1/1,B,PR,CAT17,0.006960847872742591,-0.06258194376361381,-0.31769416164240194,-0.7630833309156542,-0.7058287297211058,0.07514459138473294,-0.19251503079206095,0
15,IG45,HTS24,1/1,B,PR,CAT17,0.05852409487045572,-0.0309671046366126,-0.31769416164240194,-0.7630833309156542,-0.7058287297211058,0.07514459138473294,-0.19251503079206095,0
