AISLE,IG,HTS,PLANNING,ABC,UOM,CAT,COSTX,QTYVAR
17,IG56,HTS119,1/1,B,PC,CAT17,-0.029670736546169172,-0.037166740362398566
17,IG56,HTS119,1/1,B,PC,CAT17,0.09265472926449471,-0.0069048390243448225
17,IG56,HTS119,1/1,C,PC,CAT17,0.26613832225566186,0.02047654112228361
17,IG56,HTS119,1/1,B,PC,CAT17,-0.024811583719297464,-0.044242088992287355
15,IG56,HTS119,1/1,C,PC,CAT17,-0.07762774540799625,-0.04645450450813493
18,IG56,HTS119,1/1,B,PC,CAT17,1.552990081932378,1.937173151386274
19,IG56,HTS119,1/1,B,PC,CAT17,-0.22205068312118326,-0.05482225428094458
19,IG56,HTS119,1/1,B,PC,CAT17,-1.743514220151366,-0.14381173975748696
22,IG56,HTS119,1/1,B,PC,CAT17,0.2005780654365125,-0.0069048390243448225
2,IG56,HTS119,1/1,A,PC,CAT17,0.19887280508611532,-0.019686467276790978
17,IG56,HTS119,1/1,A,PC,CAT17,0.11519967499415515,-0.02211793383381158
17,IG56,HTS119,1/1,A,PC,CAT17,-0.9725508473114134,-0.14381173975748696
18,IG56,HTS119,1/1,B,PC,CAT17,-0.5649532166545702,-0.08040741588995419
18,IG56,HTS119,1/1,A,PC,CAT17,-0.20644799952888335,-0.048568347055454646
22,IG56,HTS119,1/1,A,PC,CAT17,-0.7617220209796897,-0.14381173975748696
23,IG56,HTS119,1/1,A,PC,CAT17,0.19017628341205897,-0.030069486628392476
2,IG56,HTS119,1/1,B,PC,CAT17,-0.117101857225735,-0.048885971065155534
18,IG56,HTS119,1/1,B,PC,CAT17,-0.19141607940093927,-0.14381173975748696
22,IG56,HTS119,1/1,B,PC,CAT17,0.3287834336030119,-0.0029947779394062816
16,IG56,HTS119,1/0,C,PC,CAT17,0.23506918589794065,-0.0069048390243448225
13,IG56,HTS119,1/0,C,PC,CAT17,0.4888740775253879,0.05532756177291227
16,IG56,HTS119,1/0,C,PC,CAT17,-0.47663734504928734,-0.14381173975748696
2,IG56,HTS119,1/0,C,PC,CAT17,-0.43178617948340253,-0.14381173975748696
17,IG56,HTS119,1/0,C,PC,CAT17,-0.5641612496253559,-0.14381173975748696
17,IG56,HTS119,1/0,C,PC,CAT17,0.08599178993364735,-0.026466097001096173
19,IG56,HTS119,1/0,C,PC,CAT17,0.21148605275569607,-0.02698086694785279
18,IG56,HTS119,1/0,C,PC,CAT17,-0.49949847380919105,-0.14381173975748696
18,IG56,HTS119,1/0,C,PC,CAT17,-0.5435143309716817,-0.14381173975748696
12,IG46,HTS119,1/1,B,PC,CAT17,-1.69474793304414,-0.14381173975748696
17,IG46,HTS119,1/1,B,PC,CAT17,-0.016425502818408433,-0.038579619577964595
17,IG46,HTS119,1/1,B,PC,CAT17,0.06749061763731617,-0.03220523427982949
13,IG46,HTS119,1/1,A,PC,CAT17,-0.04040153723432975,-0.04106584889527845
13,IG46,HTS119,1/1,A,PC,CAT17,-0.59185032880052,-0.14174170741840186
14,IG46,HTS119,1/1,A,PC,CAT17,0.01953854880547354,-0.03695864187328419
15,IG46,HTS119,1/1,A,PC,CAT17,0.2712869101726474,-0.016028314889201416
16,IG46,HTS119,1/1,A,PC,CAT17,0.2712869101726474,-0.016028314889201416
99,IG46,HTS119,1/1,A,PC,CAT17,-0.22022179535373962,-0.14381173975748696
14,IG46,HTS119,1/1,C,PC,CAT17,0.012837208130430926,-0.03624672598947185
13,IG46,HTS119,1/1,B,PC,CAT17,-0.08995428133732637,-0.04511829315697946
14,IG46,HTS119,1/1,C,PC,CAT17,0.17636913182918812,-0.004758138820849152
99,IG46,HTS119,1/1,C,PC,CAT17,-0.11798833927307054,-0.14381173975748696
13,IG46,HTS119,1/1,B,PC,CAT17,0.0548882633671883,-0.03217237662365354
14,IG46,HTS119,1/1,C,PC,CAT17,0.4613819028787059,0.05410087594234333
14,IG46,HTS119,1/1,C,PC,CAT17,-0.4170181287348408,-0.14381173975748696
12,IG46,HTS119,1/1,A,PC,CAT17,-0.016425502818408433,-0.0381962802559118
2,IG46,HTS119,1/1,A,PC,CAT17,-0.13630567489801504,-0.04564401565579473
15,IG46,HTS119,1/1,A,PC,CAT17,-0.07636558885821172,-0.052544123452745096
16,IG46,HTS119,1/1,A,PC,CAT17,-0.0883536060661724,-0.04406684815934893
17,IG46,HTS119,1/1,A,PC,CAT17,-0.016425502818408433,-0.036892926560932286
14,IG46,HTS119,1/1,A,PC,CAT17,0.355203030628372,0.07132924033060194
14,IG46,HTS119,1/1,A,PC,CAT17,-1.4310115544690054,-0.09289332523681676
14,IG46,HTS119,1/1,A,PC,CAT17,1.625932875783441,1.2899758976885056
12,IG46,HTS119,1/1,B,PC,CAT17,0.4990592371238999,0.04481311179660696
12,IG46,HTS119,1/1,B,PC,CAT17,0.9546038910264049,8.399178865990583
12,IG46,HTS119,1/1,B,PC,CAT17,-0.2681738641855823,-0.05749467698325551
3,IG46,HTS119,1/1,A,PC,CAT17,-0.14159670034621852,-0.043333027171419285
17,IG46,HTS119,1/1,A,PC,CAT17,-1.5458188013130978,-0.14120503236752796
99,IG46,HTS119,1/1,A,PC,CAT17,2.7437911708337768,0.3946923873102251
3,IG46,HTS119,1/1,A,PC,CAT17,0.18541392561714728,-0.018350255925635505
17,IG46,HTS119,1/1,A,PC,CAT17,0.4162449544670973,0.6958875689231377
17,IG46,HTS119,1/1,A,PC,CAT17,0.10847023525967113,-0.03313620120481486
12,IG46,HTS119,1/1,A,PC,CAT17,0.050762493880613054,-0.03337715735010519
17,IG46,HTS119,1/1,A,PC,CAT17,-0.08388895896716046,-0.03885343337943088
17,IG46,HTS119,1/1,A,PC,CAT17,0.5124245515805131,-0.010475370995465172
17,IG46,HTS119,1/1,A,PC,CAT17,-0.4686073263095843,-0.054625108343888854
3,IG46,HTS119,1/1,A,PC,CAT17,0.050762493880613054,-0.032676194018351506
3,IG46,HTS119,1/1,A,PC,CAT17,-0.04541710323280273,-0.03885343337943088
3,IG46,HTS119,1/1,A,PC,CAT17,-0.10312486572310006,-0.051711729496287585
3,IG46,HTS119,1/1,A,PC,CAT17,-2.642266204183789,-0.14381173975748696
17,IG46,HTS119,1/1,A,PC,CAT17,0.06999840063655267,0.0022186368405117695
17,IG46,HTS119,1/1,A,PC,CAT17,1.4742205016034315,8.180127824817557
3,IG46,HTS119,1/1,A,PC,CAT17,0.608604148693929,0.005296303968992808
17,IG46,HTS119,1/1,A,PC,CAT17,-0.19930446283651582,-0.14381173975748696
99,IG46,HTS119,1/1,A,PC,CAT17,-0.4301354916864658,-0.14381173975748696
14,IG46,HTS119,1/1,C,PR,CAT17,-1.789630054504506,-0.14381173975748696
14,IG46,HTS119,1/1,C,PR,CAT17,-0.12023647514077457,-0.03793341900650416
14,IG46,HTS119,1/1,C,PR,CAT17,-0.00641419427511799,-0.03681625869652173
16,IG46,HTS119,1/1,C,PR,CAT17,-1.1749896871629868,-0.08173267468905102
12,IG46,HTS119,1/1,C,PR,CAT17,0.03911472651564034,-0.030967595897201886
14,IG46,HTS119,1/1,C,PR,CAT17,0.02393840551122806,-0.035425284585073
14,IG46,HTS119,1/1,C,PR,CAT17,0.4792275711963329,0.02047654112228361
15,IG46,HTS119,1/1,C,PR,CAT17,0.03911472651564034,-0.03382621198450989
12,IG46,HTS119,1/1,A,BX,CAT17,-0.2568209363879714,-0.04564401565579473
14,IG46,HTS119,1/1,A,BX,CAT17,1.108589312336433,1.230240678760621
15,IG46,HTS119,1/1,A,BX,CAT17,-0.12112800277429077,-0.04008011920999983
13,IG46,HTS119,1/1,A,BX,CAT17,-0.35859064187604156,-0.0685567545624934
17,IG46,HTS119,1/1,A,BX,CAT17,1.0746660630995835,0.08286227764836182
99,IG46,HTS119,1/1,A,BX,CAT17,-1.5798271288441237,-0.14381173975748696
12,IG46,HTS119,1/1,A,BX,CAT17,-1.2999604334741206,-0.08577416639869337
17,IG46,HTS119,1/1,A,BX,CAT17,2.4315955047925852,0.7037076910930148
16,IG46,HTS119,1/1,A,BX,CAT17,-0.23985932232516619,-0.04859025215957195
15,IG46,HTS121,1/1,B,PR,CAT17,0.007835849995973016,-0.14381173975748696
15,IG46,HTS121,1/1,B,PR,CAT17,0.007835849995973016,-0.03666292296770061
14,IG46,HTS121,1/1,B,PR,CAT17,0.10259871406581776,0.03142909318093498
0,IG46,HTS121,1/1,B,PR,CAT17,-0.06323629805641054,-0.14381173975748696
12,IG46,HTS121,1/1,B,PR,CAT17,0.05521728203089539,-0.029675194754281025
16,IG46,HTS121,1/1,A,PR,CAT17,-0.08100431923607697,-0.04547972737491496
13,IG46,HTS121,1/1,B,PR,CAT17,-0.02177753974804365,-0.039587254367360526
