,AISLE,IG,HTS,PLANNING,ABC,UOM,CAT,COSTX,QTYVAR
59,17,IG46,HTS119,1/1,A,PC,CAT17,0.4163873328183237,0.6957575783833604
60,17,IG46,HTS119,1/1,A,PC,CAT17,0.10830335473315869,-0.033154986586700456
61,12,IG46,HTS119,1/1,A,PC,CAT17,0.05053762733308601,-0.03339590597658269
62,17,IG46,HTS119,1/1,A,PC,CAT17,-0.08424912628695637,-0.038871346655724406
63,17,IG46,HTS119,1/1,A,PC,CAT17,0.5126635733283813,-0.010497613056412069
64,17,IG46,HTS119,1/1,A,PC,CAT17,-0.4693540671947341,-0.054640615811652526
65,3,IG46,HTS119,1/1,A,PC,CAT17,0.05053762733308601,-0.03269504956965256
66,3,IG46,HTS119,1/1,A,PC,CAT17,-0.04573861317697151,-0.038871346655724406
67,3,IG46,HTS119,1/1,A,PC,CAT17,-0.1035043617094965,-0.05172768137034914
68,3,IG46,HTS119,1/1,A,PC,CAT17,-2.6451970858160725,-0.14381364271215438
69,17,IG46,HTS119,1/1,A,PC,CAT17,0.06979286275562616,0.0021944584378384125
70,17,IG46,HTS119,1/1,A,PC,CAT17,1.4754259572965043,8.178856189583243
71,3,IG46,HTS119,1/1,A,PC,CAT17,0.6089398138384388,0.0052716560995160556
72,17,IG46,HTS119,1/1,A,PC,CAT17,-0.199780602219554,-0.14381364271215438
73,99,IG46,HTS119,1/1,A,PC,CAT17,-0.43084357521720157,-0.14381364271215438
74,14,IG46,HTS119,1/1,C,PR,CAT17,-1.7917041883848999,-0.14381364271215438
75,14,IG46,HTS119,1/1,C,PR,CAT17,-0.12063316525259639,-0.037951472621628596
76,14,IG46,HTS119,1/1,C,PR,CAT17,-0.006696513229578901,-0.03683448272308369
77,16,IG46,HTS119,1/1,C,PR,CAT17,-1.1764462167427199,-0.08174404717340399
78,12,IG46,HTS119,1/1,C,PR,CAT17,0.03887815603260901,-0.030986712077760343
79,14,IG46,HTS119,1/1,C,PR,CAT17,0.023686585523578177,-0.035443720790581695
80,14,IG46,HTS119,1/1,C,PR,CAT17,0.47943323588055275,0.02044957766209687
81,15,IG46,HTS119,1/1,C,PR,CAT17,0.03887815603260901,-0.03384489211227231
82,12,IG46,HTS119,1/1,A,BX,CAT17,-0.2573548696018603,-0.04566089309786012
83,14,IG46,HTS119,1/1,A,BX,CAT17,1.1094273736848688,1.2300291780912918
84,15,IG46,HTS119,1/1,A,BX,CAT17,-0.12152558871289175,-0.040097845367852145
85,13,IG46,HTS119,1/1,A,BX,CAT17,-0.3592268355516997,-0.06857013689938904
86,17,IG46,HTS119,1/1,A,BX,CAT17,1.0754700376132875,0.08282579787887921
87,99,IG46,HTS119,1/1,A,BX,CAT17,-1.5816904480822256,-0.14381364271215438
88,12,IG46,HTS119,1/1,A,BX,CAT17,-1.3015425364370539,-0.08578492239461057
89,17,IG46,HTS119,1/1,A,BX,CAT17,2.4337629521652335,0.7035765076731747
90,16,IG46,HTS119,1/1,A,BX,CAT17,-0.24037621213229576,-0.04860668018323837
91,15,IG46,HTS121,1/1,B,PR,CAT17,0.0075678498026837656,-0.14381364271215438
92,15,IG46,HTS121,1/1,B,PR,CAT17,0.0075678498026837656,-0.03668117038406772
93,14,IG46,HTS121,1/1,B,PR,CAT17,0.10242593370432308,0.03140045902038029
94,0,IG46,HTS121,1/1,B,PR,CAT17,-0.06357571312354572,-0.14381364271215438
95,12,IG46,HTS121,1/1,B,PR,CAT17,0.054996891753503425,-0.0296945080774829
96,16,IG46,HTS121,1/1,A,PR,CAT17,-0.08136158800576386,-0.04549662987748587
97,13,IG46,HTS121,1/1,B,PR,CAT17,-0.022075296133465445,-0.03960505570672939
98,13,IG46,HTS121,1/1,B,PR,CAT17,0.03721099573883298,-0.032782656620518824
99,13,IG46,HTS121,1/1,B,PR,CAT17,0.17683663715226802,-0.020430062448375124
100,99,IG46,HTS121,1/1,B,PR,CAT17,-0.030003642789701634,-0.14381364271215438
101,13,IG46,HTS121,1/1,A,PR,CAT17,-0.11427189559608085,-0.053753594421631565
102,15,IG46,HTS121,1/1,A,PR,CAT17,0.8356611667775791,0.0017454723021487959
103,13,IG46,HTS121,1/1,B,PR,CAT17,-0.030003642789701634,-0.04915422425115253
104,14,IG46,HTS121,1/1,A,PR,CAT17,0.0006393639941959796,-0.03805003055385315
105,13,IG46,HTS121,1/1,B,PR,CAT17,0.038943117190954925,-0.006927625733611673
106,14,IG46,HTS121,1/1,B,PR,CAT17,-0.014682128831526678,-0.03846616404546791
107,13,IG46,HTS121,1/1,B,PR,CAT17,-0.2033465556166798,-0.05863768750742597
108,13,IG46,HTS121,1/1,B,PR,CAT17,0.30110564247181865,0.06256666736605489
109,17,IG46,HTS121,1/1,B,PR,CAT17,0.09058542068505963,-0.0300887398063811
110,14,IG46,HTS121,1/1,B,PR,CAT17,0.3080299863196572,0.02354867708649108
111,14,IG46,HTS121,1/1,B,PR,CAT17,0.1103531180756832,-0.031457599976166525
112,13,IG46,HTS121,1/1,B,PR,CAT17,-0.10709142642646208,-0.06074025672821639
113,15,IG46,HTS121,1/1,B,PR,CAT17,0.07081774442688839,-0.03208180021358868
114,13,IG46,HTS121,1/1,B,PR,CAT17,0.3871007336172468,0.07520398445351396
115,13,IG46,HTS121,1/1,B,PR,CAT17,-0.32453599206105965,-0.13045356745504863
116,13,IG46,HTS121,1/1,B,PR,CAT17,0.0016308352583844176,-0.051596270794049735
117,14,IG46,HTS121,1/1,B,PR,CAT17,-0.4233744156168205,-0.07080411669647886
118,14,IG46,HTS121,1/1,B,PR,CAT17,-0.03357325210107393,-0.04226611987679227
119,14,IG46,HTS121,1/1,C,PR,CAT17,0.03938932892110261,-0.03234462136618749
120,14,IG46,HTS121,1/1,C,PR,CAT17,-0.03357325210107393,-0.04414967147041701
121,12,IG46,HTS121,1/1,B,PR,CAT17,0.42041612918555105,0.025432228680115826
122,99,IG46,HTS121,1/1,B,PR,CAT17,-0.5037765496737169,-0.14381364271215438
123,12,IG46,HTS121,1/1,B,PR,CAT17,0.6149829978230537,0.4294978490380573
124,99,IG46,HTS121,1/1,B,PR,CAT17,-0.5199904448272826,-0.14381364271215438
125,14,IG46,HTS121,1/1,B,PR,CAT17,0.1945105945671472,-0.020517669499241394
