AISLE,IG,HTS,PLANNING,ABC,UOM,CAT,COSTX,QTYVAR
14,IG46,HTS121,1/1,B,PR,CAT17,336.6555,60.0
0,IG46,HTS121,1/1,B,PR,CAT17,-448.874,-100.0
12,IG46,HTS121,1/1,B,PR,CAT17,112.2185,4.21
16,IG46,HTS121,1/1,A,PR,CAT17,-533.0378,-10.22
13,IG46,HTS121,1/1,B,PR,CAT17,-252.4916,-4.84
13,IG46,HTS121,1/1,B,PR,CAT17,28.0546,1.39
13,IG46,HTS121,1/1,B,PR,CAT17,688.7713,12.67
99,IG46,HTS121,1/1,B,PR,CAT17,-290.009,-100.0
13,IG46,HTS121,1/1,A,PR,CAT17,-688.7713,-17.76
15,IG46,HTS121,1/1,A,PR,CAT17,3806.3675,32.92
13,IG46,HTS121,1/1,B,PR,CAT17,-290.009,-13.56
14,IG46,HTS121,1/1,A,PR,CAT17,-145.0045,-3.42
13,IG46,HTS121,1/1,B,PR,CAT17,36.2511,25.0
14,IG46,HTS121,1/1,B,PR,CAT17,-217.5067,-3.8
13,IG46,HTS121,1/1,B,PR,CAT17,-1110.2778,-22.22
13,IG46,HTS121,1/1,B,PR,CAT17,1276.8195,88.46
17,IG46,HTS121,1/1,B,PR,CAT17,280.6255,3.85
14,IG46,HTS121,1/1,B,PR,CAT17,1309.5859,52.83
14,IG46,HTS121,1/1,B,PR,CAT17,374.1674,2.6
13,IG46,HTS121,1/1,B,PR,CAT17,-654.7929,-24.14
15,IG46,HTS121,1/1,B,PR,CAT17,187.0837,2.03
13,IG46,HTS121,1/1,B,PR,CAT17,1683.7533,100.0
13,IG46,HTS121,1/1,B,PR,CAT17,-1683.7533,-87.8
13,IG46,HTS121,1/1,B,PR,CAT17,-140.3128,-15.79
14,IG46,HTS121,1/1,B,PR,CAT17,-2151.4625,-33.33
14,IG46,HTS121,1/1,B,PR,CAT17,-306.9006,-7.27
14,IG46,HTS121,1/1,C,PR,CAT17,38.3626,1.79
14,IG46,HTS121,1/1,C,PR,CAT17,-306.9006,-8.99
12,IG46,HTS121,1/1,B,PR,CAT17,1841.4037,54.55
99,IG46,HTS121,1/1,B,PR,CAT17,-2531.9301,-100.0
12,IG46,HTS121,1/1,B,PR,CAT17,2762.1055,423.53
99,IG46,HTS121,1/1,B,PR,CAT17,-2608.6552,-100.0
14,IG46,HTS121,1/1,B,PR,CAT17,772.4055,12.59
99,IG46,HTS121,1/1,B,PR,CAT17,-858.2283,-100.0
16,IG46,HTS121,1/1,A,PR,CAT17,343.2913,4.02
16,IG46,HTS121,1/1,A,PR,CAT17,-1351.7096,-5.97
13,IG46,HTS121,1/1,B,PR,CAT17,-343.2913,-10.74
13,IG46,HTS121,1/1,B,PR,CAT17,-278.9242,-9.92
15,IG46,HTS121,1/1,A,PR,CAT17,-343.2913,-5.18
14,IG46,HTS121,1/1,B,PR,CAT17,-171.6457,-4.79
13,IG46,HTS121,1/1,B,PR,CAT17,-608.4897,-12.72
13,IG46,HTS121,1/1,B,PR,CAT17,663.807,33.33
12,IG46,HTS121,1/1,A,PR,CAT17,3623.2797,2183.33
15,IG46,HTS121,1/1,B,PR,CAT17,110.6345,3.64
15,IG46,HTS121,1/1,B,PR,CAT17,-110.6345,-1.7
15,IG46,HTS121,1/1,B,PR,CAT17,-193.6104,-25.0
17,IG46,HTS121,1/1,A,PR,CAT17,-221.269,-2.28
13,IG46,HTS121,1/1,B,PR,CAT17,27.6586,0.56
14,IG46,HTS121,1/1,B,PR,CAT17,2406.3003,4350.0
13,IG46,HTS119,1/1,A,BX,CAT17,-6338.7702,-48.45
13,IG46,HTS119,1/1,A,BX,CAT17,3037.0029,74.71
14,IG46,HTS119,1/1,A,BX,CAT17,-2351.7305,-100.0
14,IG46,HTS119,1/1,A,BX,CAT17,1900.0736,24.02
15,IG46,HTS119,1/1,A,BX,CAT17,264.7644,1.01
13,IG46,HTS119,1/1,A,BX,CAT17,-1884.4992,-14.6
16,IG46,HTS119,1/1,A,BX,CAT17,8176.5463,193.73
14,IG46,HTS119,1/1,A,BX,CAT17,1245.9499,30.3
17,IG46,HTS119,1/1,A,BX,CAT17,3737.8497,27.46
13,IG46,HTS119,1/1,A,BX,CAT17,-1856.3007,-13.33
13,IG46,HTS119,1/1,A,PC,CAT17,-708.2155,-14.16
15,IG46,HTS119,1/1,A,PC,CAT17,-239.0227,-2.14
17,IG46,HTS119,1/1,A,PC,CAT17,-15979.1115,-34.3
14,IG46,HTS119,1/1,A,PC,CAT17,-4550.2844,-72.19
15,IG46,HTS119,1/1,A,PC,CAT17,389.5185,100.0
15,IG46,HTS119,1/1,A,PC,CAT17,354.1077,1.93
12,IG46,HTS119,1/1,A,PC,CAT17,-44.2635,-1.84
12,IG56,HTS119,1/0,C,PC,CAT17,-10340.6868,-100.0
15,IG56,HTS119,1/0,C,PC,CAT17,-164.3275,-6.56
12,IG56,HTS119,1/0,C,PC,CAT17,-42.24,-0.26
13,IG56,HTS119,1/0,C,PC,CAT17,-28222.3745,-100.0
12,IG56,HTS119,1/0,C,PC,CAT17,-257.6249,-0.55
15,IG45,HTS24,1/1,C,PR,CAT17,-69.2756,-100.0
12,IG45,HTS24,1/1,B,PR,CAT17,-46.1837,-8.7
12,IG45,HTS24,1/1,B,PR,CAT17,-23.0919,-0.55
14,IG45,HTS24,1/1,B,PR,CAT17,1154.5929,62.5
14,IG45,HTS24,1/1,C,PR,CAT17,-46.1837,-50.0
16,IG45,HTS24,1/1,C,PR,CAT17,-46.1837,-1.11
13,IG45,HTS24,1/1,B,PR,CAT17,-69.2756,-1.96
15,IG45,HTS24,1/1,B,PR,CAT17,207.8267,10.11
12,IG45,HTS24,1/1,B,PR,CAT17,390.1937,29.73
16,IG45,HTS24,1/1,C,PR,CAT17,-260.1291,-18.64
14,IG45,HTS24,1/1,B,PR,CAT17,-106.4165,-25.71
15,IG45,HTS24,1/1,B,PR,CAT17,141.8886,4.27
14,IG45,HTS24,1/1,C,PR,CAT17,2010.0889,151.79
13,IG45,HTS24,1/1,C,PR,CAT17,-1217.8774,-54.5
16,IG45,HTS24,1/1,B,PC,CAT17,83.4631,1.55
17,IG45,HTS24,1/1,B,PC,CAT17,-125.1947,-3.0
17,IG45,HTS24,1/1,C,PC,CAT17,41.7316,3.77
16,IG45,HTS24,1/1,B,PC,CAT17,-20.8658,-0.41
2,IG45,HTS24,1/1,A,PC,CAT17,907.6615,28.16
2,IG45,HTS24,1/1,A,PC,CAT17,-62.5973,-100.0
16,IG45,HTS24,1/1,A,PC,CAT17,-563.3761,-25.0
18,IG45,HTS24,1/1,A,PC,CAT17,-375.5841,-11.76
19,IG45,HTS24,1/1,A,PC,CAT17,-31.2987,-1.0
19,IG45,HTS24,1/1,B,PC,CAT17,-93.896,-12.0
18,IG45,HTS24,1/1,B,PC,CAT17,-813.7655,-27.37
18,IG45,HTS24,1/1,B,PC,CAT17,-187.792,-3.13
2,IG45,HTS24,1/1,B,PC,CAT17,-125.1947,-100.0
19,IG45,HTS24,1/1,B,PC,CAT17,-219.0907,-4.46
19,IG45,HTS24,1/1,B,PC,CAT17,187.792,2.94
99,IG45,HTS24,1/1,B,PC,CAT17,-62.5973,-100.0
17,IG45,HTS24,1/1,B,PC,CAT17,-375.5841,-92.31
18,IG45,HTS24,1/1,B,PC,CAT17,-751.1682,-33.33
18,IG45,HTS24,1/1,B,PC,CAT17,-156.4934,-3.21
18,IG45,HTS24,1/1,A,PC,CAT17,-625.9735,-9.04
18,IG45,HTS24,1/1,A,PC,CAT17,7261.2923,966.67
22,IG45,HTS24,1/1,A,PC,CAT17,1001.5576,13.79
18,IG45,HTS24,1/1,B,PC,CAT17,-1168.4838,-73.68
19,IG45,HTS24,1/1,B,PC,CAT17,-83.4631,-1.61
18,IG45,HTS24,1/1,A,PC,CAT17,-125.1947,-50.0
19,IG45,HTS24,1/1,A,PC,CAT17,-250.3894,-6.0
18,IG45,HTS24,1/1,A,PC,CAT17,2629.0886,45.0
19,IG45,HTS24,1/1,A,PC,CAT17,-250.3894,-4.69
13,IG45,HTS24,1/1,A,BG,CAT17,-804.7194,-100.0
13,IG45,HTS24,1/1,A,BG,CAT17,-222.8454,-100.0
13,IG45,HTS24,1/1,A,BG,CAT17,-1844.6646,-88.69
13,IG45,HTS24,1/1,A,BG,CAT17,-136.1833,-100.0
13,IG45,HTS24,1/1,A,BG,CAT17,-1857.0449,-100.0
13,IG45,HTS24,1/1,A,BG,CAT17,-321.8878,-86.67
13,IG45,HTS24,1/1,A,BG,CAT17,-61.9015,-3.13
14,IG45,HTS24,1/1,A,BG,CAT17,2736.0461,4420.0
14,IG45,HTS24,1/1,A,BG,CAT17,-371.409,-17.65
14,IG45,HTS24,1/1,A,BG,CAT17,-2723.6658,-100.0
14,IG45,HTS24,1/1,A,BG,CAT17,495.212,22.22
14,IG45,HTS24,1/1,A,BG,CAT17,-854.2406,-100.0
14,IG45,HTS24,1/1,A,BG,CAT17,123.803,5.88
15,IG45,HTS24,1/1,A,BG,CAT17,-1114.2269,-100.0
99,IG45,HTS24,1/1,A,BG,CAT17,-1398.9738,-100.0
13,IG45,HTS24,1/1,B,BG,CAT17,-433.3105,-16.75
13,IG45,HTS24,1/1,B,BG,CAT17,99.0424,400.0
12,IG45,HTS24,1/1,A,BG,CAT17,-12.3803,-100.0
15,IG45,HTS24,1/1,A,BG,CAT17,-12.3803,-0.67
16,IG45,HTS24,1/1,A,BG,CAT17,359.0287,20.42
16,IG45,HTS24,1/1,A,BG,CAT17,-222.8454,-90.0
14,IG45,HTS24,1/1,A,BG,CAT17,-346.6484,-12.28
14,IG45,HTS24,1/1,A,BG,CAT17,222.8454,10.0
15,IG45,HTS24,1/1,A,BG,CAT17,136.1833,183.33
15,IG45,HTS24,1/1,B,BG,CAT17,99.0424,133.33
15,IG45,HTS24,1/1,B,BG,CAT17,37.1409,1.6
17,IG45,HTS24,1/1,B,BG,CAT17,-445.6908,-11.76
13,IG45,HTS24,1/1,A,BG,CAT17,123.803,111.11
14,IG45,HTS24,1/1,A,BG,CAT17,-123.803,-5.88
17,IG45,HTS24,1/1,A,BG,CAT17,-123.803,-5.21
13,IG45,HTS24,1/1,C,PC,CAT17,26.4304,3.85
15,IG45,HTS24,1/1,C,PC,CAT17,-330.3803,-7.02
14,IG45,HTS24,1/1,C,PC,CAT17,158.5826,30.77
14,IG45,HTS24,1/0,C,PC,CAT17,-72.945,-9.26
15,IG45,HTS24,1/1,C,PC,CAT17,-92.5065,-6.14
14,IG45,HTS24,1/1,C,PC,CAT17,-66.0761,-3.05
13,IG45,HTS24,1/1,C,PC,CAT17,383.2412,26.61
15,IG45,HTS24,1/1,A,PR,CAT17,5515.2513,8850.0
15,IG45,HTS24,1/1,B,PR,CAT17,794.5701,36.69
15,IG45,HTS24,1/1,B,PR,CAT17,-342.7557,-100.0
16,IG45,HTS24,1/1,B,PR,CAT17,-778.9903,-100.0
13,IG45,HTS24,1/1,B,PR,CAT17,-405.075,-16.05
15,IG45,HTS24,1/1,B,PR,CAT17,-997.1076,-100.0
15,IG45,HTS24,1/1,B,PR,CAT17,825.7297,196.3
17,IG45,HTS24,1/1,B,PR,CAT17,358.3355,14.02
13,IG45,HTS24,1/1,C,PR,CAT17,-353.3255,-12.42
13,IG45,HTS24,1/1,C,PR,CAT17,211.9953,26.09
13,IG45,HTS24,1/1,C,PR,CAT17,-547.6545,-23.85
13,IG45,HTS24,1/1,C,PR,CAT17,547.6545,75.61
14,IG45,HTS24,1/1,C,PR,CAT17,35.3326,1.2
14,IG45,HTS24,1/1,C,PR,CAT17,-17.6663,-100.0
16,IG45,HTS24,1/1,C,PR,CAT17,-35.3326,-100.0
13,IG45,HTS119,1/1,C,PC,CAT17,-249.9293,-12.2
12,IG45,HTS24,1/1,B,PR,CAT17,-24.9697,-0.48
12,IG45,HTS24,1/1,B,PR,CAT17,74.9092,1.82
12,IG45,HTS24,1/1,C,PR,CAT17,399.5157,9.52
12,IG45,HTS24,1/1,C,PR,CAT17,-324.6065,-11.02
12,IG45,HTS24,1/1,C,PR,CAT17,-124.8487,-3.14
12,IG45,HTS24,1/1,C,PR,CAT17,-437.5508,-100.0
13,IG45,HTS24,1/1,C,PR,CAT17,-178.2614,-13.92
12,IG45,HTS24,1/1,B,PR,CAT17,-210.6726,-10.74
13,IG45,HTS24,1/1,C,PR,CAT17,226.8782,51.85
14,IG45,HTS24,1/1,C,PR,CAT17,-113.4391,-100.0
13,IG53,HTS119,1/1,B,BX,CAT16,2626.1031,21.62
13,IG53,HTS119,1/0,B,BX,CAT16,-9630.5744,-19.64
13,IG53,HTS119,1/0,C,BX,CAT16,-810.0163,-3.7
12,IG53,HTS119,1/1,A,BX,CAT16,569.3580000000001,3.54
12,IG53,HTS50,1/1,B,BX,CAT16,-2801.5149,-56.25
12,IG53,HTS119,1/1,C,PC,CAT16,225.4104,5.83
12,IG53,HTS119,1/0,C,PC,CAT16,-212.8134,-4.37
17,IG56,HTS119,1/1,C,PC,CAT17,412.5115,8.33
17,IG56,HTS119,1/1,C,PC,CAT17,824.6189,40.0
17,IG56,HTS119,1/1,C,PC,CAT17,1209.3484,11.11
18,IG56,HTS119,1/1,C,PC,CAT17,-391.6642,-3.57
2,IG56,HTS119,1/1,C,PC,CAT17,-399.4962,-100.0
2,IG56,HTS119,1/1,C,PC,CAT17,-1997.4809,-62.5
17,IG56,HTS119,1/1,C,PC,CAT17,798.9924,25.0
19,IG56,HTS119,1/1,C,PC,CAT17,-618.192,-12.5
18,IG56,HTS119,1/1,B,PC,CAT17,-618.4359,-100.0
23,IG56,HTS119,1/1,B,PC,CAT17,618.4359,4.0
23,IG56,HTS119,1/1,B,PC,CAT17,-618.4359,-11.11
18,IG56,HTS119,1/1,B,PC,CAT17,1149.8811,5.13
2,IG56,HTS119,1/1,B,PC,CAT17,-593.1174,-33.33
24,IG56,HTS119,1/1,B,PC,CAT17,593.1174,14.29
18,IG56,HTS119,1/1,C,PC,CAT17,-1676.4248,-16.67
24,IG56,HTS119,1/1,C,PC,CAT17,1117.6166,25.0
18,IG56,HTS119,1/1,C,PC,CAT17,-4201.5229,-100.0
18,IG56,HTS119,1/0,C,PC,CAT17,-789.6606,-8.33
2,IG56,HTS119,1/1,B,PC,CAT17,-8016.9919,-100.0
18,IG56,HTS119,1/1,B,PC,CAT17,2405.0976,300.0
20,IG56,HTS119,1/1,B,PC,CAT17,-801.6992,-9.09
22,IG56,HTS119,1/1,B,PC,CAT17,1603.3984,25.0
18,IG56,HTS119,1/1,B,PC,CAT17,1504.4255,25.0
19,IG56,HTS119,1/1,B,PC,CAT17,6017.7021,100.0
18,IG56,HTS119,1/1,B,PC,CAT17,-505.842,-50.0
18,IG56,HTS119,1/1,B,PC,CAT17,-958.4658,-33.33
18,IG56,HTS119,1/1,C,PC,CAT17,-863.8439999999999,-40.0
18,IG56,HTS119,1/1,C,PC,CAT17,-1295.7661,-100.0
23,IG56,HTS119,1/1,C,PC,CAT17,2159.6101,100.0
20,IG56,HTS119,1/0,C,PC,CAT17,-719.8076,-100.0
23,IG56,HTS119,1/0,C,PC,CAT17,-1439.6151,-28.57
20,IG56,HTS119,1/0,C,PC,CAT17,589.8603,100.0
26,IG56,HTS119,1/0,C,PC,CAT17,-589.8603,-10.0
16,IG56,HTS119,1/0,C,PC,CAT17,-1454.2492,-36.36
16,IG56,HTS119,1/0,C,PC,CAT17,3138.6152,34.78
19,IG56,HTS119,1/0,B,PC,CAT17,-3892.7852,-54.55
19,IG56,HTS119,1/0,C,PC,CAT17,-574.7314,-4.76
18,IG56,HTS119,1/0,C,PC,CAT17,558.5921,4.0
20,IG56,HTS119,1/1,B,PC,CAT17,5058.4204,100.0
19,IG56,HTS119,1/0,C,PC,CAT17,-716.4598,-5.26
18,IG56,HTS119,1/0,C,PC,CAT17,6955.2869,300.0
19,IG56,HTS119,1/0,C,PC,CAT17,-6955.2869,-100.0
18,IG56,HTS119,1/0,C,PC,CAT17,-392.4383,-100.0
18,IG56,HTS119,1/0,C,PC,CAT17,547.7741,12.5
19,IG56,HTS119,1/0,C,PC,CAT17,-443.5701,-100.0
18,IG56,HTS119,1/0,C,PC,CAT17,-381.3894,-20.0
13,IG48,HTS15,2/0,B,PC,CAT17,7657.778,150.0
13,IG46,HTS15,1/1,B,PC,CAT17,-1131.0447,-34.52
13,IG46,HTS15,1/1,B,PC,CAT17,-740.0264,-24.39
17,IG46,HTS119,1/1,B,PC,CAT17,-9790.879,-50.61
16,IG46,HTS119,1/1,A,PC,CAT17,943.6992,20.0
17,IG46,HTS119,1/1,A,BX,CAT17,5423.2212,41.16
17,IG46,HTS119,1/1,A,BX,CAT17,-4579.609,-47.9
3,IG46,HTS119,1/1,A,PC,CAT17,117.9624,2.86
18,IG46,HTS119,1/1,A,PC,CAT17,-235.9248,-100.0
15,IG46,HTS119,1/1,B,PC,CAT17,117.9624,1.12
15,IG46,HTS119,1/1,B,PC,CAT17,17222.51,2920.0
17,IG46,HTS119,1/1,B,PC,CAT17,-12739.9389,-46.75
13,IG46,HTS121,1/1,B,PR,CAT17,128.3377,16.67
13,IG46,HTS121,1/1,B,PR,CAT17,-834.1951,-12.26
14,IG46,HTS121,1/1,B,PR,CAT17,-1155.0394,-40.0
13,IG46,HTS121,1/1,B,PR,CAT17,-87.4764,-1.96
19,IG46,HTS119,1/1,A,PC,CAT17,-1104.5567,-13.4
18,IG46,HTS119,1/1,A,PC,CAT17,-1735.7320000000002,-8.33
19,IG46,HTS119,1/1,A,PC,CAT17,-7889.6907,-90.91
19,IG46,HTS119,1/1,A,PC,CAT17,-394.4845,-100.0
19,IG46,HTS119,1/1,A,PC,CAT17,-591.7268,-4.1
19,IG46,HTS119,1/1,A,PC,CAT17,2209.1134,1400.0
19,IG46,HTS119,1/1,A,PC,CAT17,-5522.7835,-100.0
21,IG46,HTS119,1/1,A,PC,CAT17,-39.4485,-100.0
21,IG46,HTS119,1/1,A,PC,CAT17,2327.4588,16.16
19,IG46,HTS119,1/1,A,PC,CAT17,-315.5876,-8.16
19,IG46,HTS119,1/1,A,PC,CAT17,-118.3454,-100.0
19,IG46,HTS119,1/1,A,PC,CAT17,78.8969,200.0
20,IG46,HTS119,1/1,A,PC,CAT17,-276.1392,-100.0
18,IG46,HTS119,1/1,A,PC,CAT17,7810.7938,97.54
18,IG46,HTS119,1/1,A,PC,CAT17,118.3454,300.0
18,IG46,HTS119,1/1,A,PC,CAT17,11361.1546,66.06
19,IG46,HTS119,1/1,A,PC,CAT17,157.7938,0.84
18,IG46,HTS119,1/1,A,PC,CAT17,-78.8969,-0.52
19,IG46,HTS119,1/1,A,PC,CAT17,-394.4845,-15.87
19,IG46,HTS119,1/1,A,PC,CAT17,394.4845,20.0
19,IG46,HTS119,1/1,A,PC,CAT17,-157.7938,-100.0
13,IG46,HTS119,1/1,A,BX,CAT17,1027.9087,8.09
15,IG46,HTS119,1/1,A,BX,CAT17,-1775.4786,-21.27
12,IG46,HTS119,1/1,A,BX,CAT17,125.8509,2.06
14,IG46,HTS119,1/1,A,BX,CAT17,-440.4781,-14.0
25,IG48,HTS24,2/0,B,TB,CAT17,27623.9695,130.0
2,IG48,HTS24,1/0,B,TB,CAT17,-2124.9207,-100.0
20,IG48,HTS24,1/0,B,TB,CAT17,2124.9207,33.33
20,IG48,HTS24,2/0,A,TB,CAT17,2411.4265,33.33
23,IG46,HTS66,1/1,A,BX,CAT17,6026.2414,26.32
26,IG46,HTS66,1/1,A,BX,CAT17,16873.4758,53.85
21,IG46,HTS66,1/1,A,BX,CAT17,1450.3153,3.23
23,IG46,HTS66,1/1,A,BX,CAT17,10152.207,35.0
12,IG46,HTS119,1/1,A,PC,CAT17,-221.7112,-1.31
12,IG46,HTS119,1/1,A,PC,CAT17,-431.105,-100.0
16,IG56,HTS119,1/1,B,PC,CAT17,-878.6878,-36.36
2,IG56,HTS119,1/1,B,PC,CAT17,419.5917,25.0
17,IG56,HTS119,1/1,B,PC,CAT17,-419.5917,-100.0
16,IG56,HTS119,1/1,B,PC,CAT17,3552.1328,50.0
2,IG56,HTS119,1/1,C,PC,CAT17,-2441.8832,-100.0
18,IG56,HTS119,1/1,A,PC,CAT17,965.2038,300.0
18,IG56,HTS119,1/1,A,PC,CAT17,965.2038,17.65
18,IG56,HTS119,1/1,A,PC,CAT17,-1608.6729999999998,-100.0
2,IG56,HTS119,1/1,B,PC,CAT17,1145.656,100.0
18,IG56,HTS119,1/1,B,PC,CAT17,-572.828,-100.0
19,IG56,HTS119,1/1,B,PC,CAT17,2291.3119,28.57
18,IG56,HTS119,1/1,A,PC,CAT17,-274.7795,-3.45
22,IG56,HTS119,1/1,A,PC,CAT17,3610.9733,150.0
23,IG56,HTS119,1/1,A,PC,CAT17,-1805.4866,-11.54
19,IG56,HTS119,1/1,B,PC,CAT17,-537.5628,-100.0
18,IG56,HTS119,1/1,B,PC,CAT17,-721.8663,-100.0
20,IG56,HTS119,1/1,B,PC,CAT17,-3609.3317,-100.0
